fold,dataset,metric1,metric2
0,ghisaconus,0.7579250720461095,0.6593904833130784
1,ghisaconus,0.7435158501440923,0.6385797376212712
2,ghisaconus,0.6858789625360231,0.5672772203599254
3,ghisaconus,0.6829971181556196,0.5649993731979441
4,ghisaconus,0.6714697406340058,0.5364984885056124
5,ghisaconus,0.7204610951008645,0.6133193943432208
6,ghisaconus,0.6772334293948127,0.5410161324609679
7,ghisaconus,0.7492795389048992,0.6392888294122567
8,ghisaconus,0.7838616714697406,0.6998616076577096
9,ghisaconus,0.7118155619596542,0.6002672564740577
0,indian_pines,0.7270955165692008,0.6836541426243228
1,indian_pines,0.7270955165692008,0.6894310560295434
2,indian_pines,0.7212475633528265,0.6794618591116044
3,indian_pines,0.7368421052631579,0.6936879956478086
4,indian_pines,0.7621832358674464,0.7279626538702274
5,indian_pines,0.7641325536062378,0.7269704287241202
6,indian_pines,0.7368421052631579,0.7002051876991273
7,indian_pines,0.7446393762183235,0.7080808475702725
8,indian_pines,0.732943469785575,0.6935350240703273
9,indian_pines,0.740234375,0.7014721226096639
